f_0,tf_0,f_lp_0,tf_lp_0,f_1,tf_1,f_lp_1,tf_lp_1,f_2,tf_2,f_lp_2,tf_lp_2
7.157157e-02,7.855281e+00,7.157157e-02,2.427918e+01,7.157157e-02,-4.344637e+01,7.157157e-02,1.034579e+01,7.157157e-02,-3.950997e+01,7.157157e-02,3.679172e+00
7.207207e-02,8.534370e+00,7.207207e-02,2.342266e+01,7.207207e-02,-4.334799e+01,7.207207e-02,9.975262e+00,7.207207e-02,-3.944301e+01,7.207207e-02,3.529842e+00
7.257257e-02,9.223964e+00,7.257257e-02,2.258477e+01,7.257257e-02,-4.324975e+01,7.257257e-02,9.610629e+00,7.257257e-02,-3.937643e+01,7.257257e-02,3.382023e+00
7.307307e-02,9.924505e+00,7.307307e-02,2.176445e+01,7.307307e-02,-4.315163e+01,7.307307e-02,9.251657e+00,7.307307e-02,-3.931021e+01,7.307307e-02,3.235679e+00
7.357357e-02,1.063646e+01,7.357357e-02,2.096073e+01,7.357357e-02,-4.305362e+01,7.357357e-02,8.898131e+00,7.357357e-02,-3.924435e+01,7.357357e-02,3.090780e+00
7.407407e-02,1.136034e+01,7.407407e-02,2.017274e+01,7.407407e-02,-4.295573e+01,7.407407e-02,8.549847e+00,7.407407e-02,-3.917885e+01,7.407407e-02,2.947293e+00
7.457457e-02,1.209669e+01,7.457457e-02,1.939966e+01,7.457457e-02,-4.285794e+01,7.457457e-02,8.206617e+00,7.457457e-02,-3.911369e+01,7.457457e-02,2.805189e+00
7.507508e-02,1.284610e+01,7.507508e-02,1.864076e+01,7.507508e-02,-4.276025e+01,7.507508e-02,7.868259e+00,7.507508e-02,-3.904888e+01,7.507508e-02,2.664438e+00
7.557558e-02,1.360921e+01,7.557558e-02,1.789536e+01,7.557558e-02,-4.266266e+01,7.557558e-02,7.534605e+00,7.557558e-02,-3.898441e+01,7.557558e-02,2.525013e+00
7.607608e-02,1.438671e+01,7.607608e-02,1.716285e+01,7.607608e-02,-4.256515e+01,7.607608e-02,7.205496e+00,7.607608e-02,-3.892027e+01,7.607608e-02,2.386886e+00
7.657658e-02,1.517936e+01,7.657658e-02,1.644264e+01,7.657658e-02,-4.246773e+01,7.657658e-02,6.880781e+00,7.657658e-02,-3.885646e+01,7.657658e-02,2.250031e+00
7.707708e-02,1.598798e+01,7.707708e-02,1.573420e+01,7.707708e-02,-4.237038e+01,7.707708e-02,6.560316e+00,7.707708e-02,-3.879297e+01,7.707708e-02,2.114422e+00
7.757758e-02,1.681348e+01,7.757758e-02,1.503703e+01,7.757758e-02,-4.227310e+01,7.757758e-02,6.243967e+00,7.757758e-02,-3.872980e+01,7.757758e-02,1.980034e+00
7.807808e-02,1.765686e+01,7.807808e-02,1.435068e+01,7.807808e-02,-4.217589e+01,7.807808e-02,5.931605e+00,7.807808e-02,-3.866695e+01,7.807808e-02,1.846844e+00
7.857858e-02,1.851922e+01,7.857858e-02,1.367472e+01,7.857858e-02,-4.207874e+01,7.857858e-02,5.623109e+00,7.857858e-02,-3.860440e+01,7.857858e-02,1.714829e+00
7.907908e-02,1.940177e+01,7.907908e-02,1.300874e+01,7.907908e-02,-4.198164e+01,7.907908e-02,5.318363e+00,7.907908e-02,-3.854216e+01,7.907908e-02,1.583965e+00
7.957958e-02,2.030587e+01,7.957958e-02,1.235237e+01,7.957958e-02,-4.188459e+01,7.957958e-02,5.017256e+00,7.957958e-02,-3.848022e+01,7.957958e-02,1.454231e+00
8.008008e-02,2.123306e+01,8.008008e-02,1.170525e+01,8.008008e-02,-4.178759e+01,8.008008e-02,4.719684e+00,8.008008e-02,-3.841857e+01,8.008008e-02,1.325606e+00
8.058058e-02,2.218503e+01,8.058058e-02,1.106706e+01,8.058058e-02,-4.169063e+01,8.058058e-02,4.425546e+00,8.058058e-02,-3.835722e+01,8.058058e-02,1.198069e+00
8.108108e-02,2.316372e+01,8.108108e-02,1.043748e+01,8.108108e-02,-4.159370e+01,8.108108e-02,4.134749e+00,8.108108e-02,-3.829615e+01,8.108108e-02,1.071600e+00
8.158158e-02,2.417135e+01,8.158158e-02,9.816216e+00,8.158158e-02,-4.149680e+01,8.158158e-02,3.847199e+00,8.158158e-02,-3.823536e+01,8.158158e-02,9.461804e-01
8.208208e-02,2.521044e+01,8.208208e-02,9.203000e+00,8.208208e-02,-4.139993e+01,8.208208e-02,3.562811e+00,8.208208e-02,-3.817486e+01,8.208208e-02,8.217901e-01
8.258258e-02,2.628393e+01,8.258258e-02,8.597566e+00,8.258258e-02,-4.130308e+01,8.258258e-02,3.281501e+00,8.258258e-02,-3.811462e+01,8.258258e-02,6.984114e-01
8.308308e-02,2.739522e+01,8.308308e-02,7.999667e+00,8.308308e-02,-4.120624e+01,8.308308e-02,3.003189e+00,8.308308e-02,-3.805466e+01,8.308308e-02,5.760263e-01
8.358358e-02,2.854834e+01,8.358358e-02,7.409068e+00,8.358358e-02,-4.110942e+01,8.358358e-02,2.727800e+00,8.358358e-02,-3.799497e+01,8.358358e-02,4.546176e-01
8.408408e-02,2.974807e+01,8.408408e-02,6.825548e+00,8.408408e-02,-4.101260e+01,8.408408e-02,2.455259e+00,8.408408e-02,-3.793554e+01,8.408408e-02,3.341684e-01
8.458458e-02,3.100016e+01,8.458458e-02,6.248895e+00,8.458458e-02,-4.091579e+01,8.458458e-02,2.185497e+00,8.458458e-02,-3.787636e+01,8.458458e-02,2.146622e-01
8.508509e-02,3.231168e+01,8.508509e-02,5.678909e+00,8.508509e-02,-4.081897e+01,8.508509e-02,1.918447e+00,8.508509e-02,-3.781744e+01,8.508509e-02,9.608313e-02
8.558559e-02,3.369138e+01,8.558559e-02,5.115399e+00,8.558559e-02,-4.072215e+01,8.558559e-02,1.654044e+00,8.558559e-02,-3.775878e+01,8.558559e-02,-2.158439e-02
8.608609e-02,3.515032e+01,8.608609e-02,4.558183e+00,8.608609e-02,-4.062531e+01,8.608609e-02,1.392225e+00,8.608609e-02,-3.770036e+01,8.608609e-02,-1.383555e-01
8.658659e-02,3.670286e+01,8.658659e-02,4.007089e+00,8.658659e-02,-4.052846e+01,8.658659e-02,1.132931e+00,8.658659e-02,-3.764219e+01,8.658659e-02,-2.542450e-01
8.708709e-02,3.836807e+01,8.708709e-02,3.461951e+00,8.708709e-02,-4.043159e+01,8.708709e-02,8.761048e-01,8.708709e-02,-3.758426e+01,8.708709e-02,-3.692671e-01
8.758759e-02,4.017216e+01,8.758759e-02,2.922611e+00,8.758759e-02,-4.033470e+01,8.758759e-02,6.216904e-01,8.758759e-02,-3.752656e+01,8.758759e-02,-4.834360e-01
8.808809e-02,4.215262e+01,8.808809e-02,2.388918e+00,8.808809e-02,-4.023778e+01,8.808809e-02,3.696345e-01,8.808809e-02,-3.746910e+01,8.808809e-02,-5.967653e-01
