f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_fp_4,fp_4,f_fp_5,fp_5,f_fp_6,fp_6,f_fp_7,fp_7,f_bb,bb
2.246094e-02,-1.983070e+02,2.246094e-02,-2.288464e+02,2.246094e-02,-2.398325e+02,2.246094e-02,-2.453324e+02,2.246094e-02,-2.510893e+02,2.246094e-02,-2.529387e+02,2.246094e-02,-2.517872e+02,2.246094e-02,-2.544035e+02,2.246094e-02,-1.872050e+02
2.294922e-02,-2.004064e+02,2.294922e-02,-2.299753e+02,2.294922e-02,-2.398014e+02,2.294922e-02,-2.449322e+02,2.294922e-02,-2.502139e+02,2.294922e-02,-2.534212e+02,2.294922e-02,-2.529142e+02,2.294922e-02,-2.539525e+02,2.294922e-02,-1.856336e+02
2.343750e-02,-2.016912e+02,2.343750e-02,-2.303895e+02,2.343750e-02,-2.403125e+02,2.343750e-02,-2.462202e+02,2.343750e-02,-2.489898e+02,2.343750e-02,-2.519875e+02,2.343750e-02,-2.537020e+02,2.343750e-02,-2.550747e+02,2.343750e-02,-1.875978e+02
2.392578e-02,-2.066798e+02,2.392578e-02,-2.289900e+02,2.392578e-02,-2.408231e+02,2.392578e-02,-2.446401e+02,2.392578e-02,-2.484641e+02,2.392578e-02,-2.534352e+02,2.392578e-02,-2.549875e+02,2.392578e-02,-2.567594e+02,2.392578e-02,-1.883530e+02
2.441406e-02,-2.110325e+02,2.441406e-02,-2.282506e+02,2.441406e-02,-2.412196e+02,2.441406e-02,-2.437229e+02,2.441406e-02,-2.482300e+02,2.441406e-02,-2.539614e+02,2.441406e-02,-2.559211e+02,2.441406e-02,-2.539314e+02,2.441406e-02,-1.875140e+02
2.490234e-02,-2.049662e+02,2.490234e-02,-2.270585e+02,2.490234e-02,-2.418949e+02,2.490234e-02,-2.449687e+02,2.490234e-02,-2.510125e+02,2.490234e-02,-2.525250e+02,2.490234e-02,-2.549043e+02,2.490234e-02,-2.529527e+02,2.490234e-02,-1.864259e+02
2.539062e-02,-2.005346e+02,2.539062e-02,-2.258942e+02,2.539062e-02,-2.431316e+02,2.539062e-02,-2.468494e+02,2.539062e-02,-2.517614e+02,2.539062e-02,-2.529144e+02,2.539062e-02,-2.534147e+02,2.539062e-02,-2.532817e+02,2.539062e-02,-1.856977e+02
2.587891e-02,-1.986341e+02,2.587891e-02,-2.254168e+02,2.587891e-02,-2.415119e+02,2.587891e-02,-2.453335e+02,2.587891e-02,-2.511718e+02,2.587891e-02,-2.534745e+02,2.587891e-02,-2.536623e+02,2.587891e-02,-2.537674e+02,2.587891e-02,-1.845330e+02
2.636719e-02,-1.949407e+02,2.636719e-02,-2.255900e+02,2.636719e-02,-2.397956e+02,2.636719e-02,-2.438995e+02,2.636719e-02,-2.533956e+02,2.636719e-02,-2.514775e+02,2.636719e-02,-2.533046e+02,2.636719e-02,-2.544407e+02,2.636719e-02,-1.852949e+02
2.685547e-02,-1.922943e+02,2.685547e-02,-2.263844e+02,2.685547e-02,-2.398335e+02,2.685547e-02,-2.446147e+02,2.685547e-02,-2.534841e+02,2.685547e-02,-2.504053e+02,2.685547e-02,-2.528736e+02,2.685547e-02,-2.538697e+02,2.685547e-02,-1.870748e+02
