f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_bb,bb
5.468750e-02,-1.575321e+02,5.468750e-02,-1.745892e+02,5.468750e-02,-1.808281e+02,5.468750e-02,-1.881832e+02,5.468750e-02,-1.547966e+02
5.517578e-02,-1.554104e+02,5.517578e-02,-1.743251e+02,5.517578e-02,-1.800014e+02,5.517578e-02,-1.856286e+02,5.517578e-02,-1.569986e+02
5.566406e-02,-1.561474e+02,5.566406e-02,-1.739981e+02,5.566406e-02,-1.786342e+02,5.566406e-02,-1.839871e+02,5.566406e-02,-1.596373e+02
5.615234e-02,-1.572061e+02,5.615234e-02,-1.745831e+02,5.615234e-02,-1.796677e+02,5.615234e-02,-1.835217e+02,5.615234e-02,-1.663224e+02
5.664062e-02,-1.560764e+02,5.664062e-02,-1.757711e+02,5.664062e-02,-1.824127e+02,5.664062e-02,-1.845317e+02,5.664062e-02,-1.635591e+02
5.712891e-02,-1.562577e+02,5.712891e-02,-1.753862e+02,5.712891e-02,-1.799937e+02,5.712891e-02,-1.842324e+02,5.712891e-02,-1.585926e+02
5.761719e-02,-1.569966e+02,5.761719e-02,-1.746977e+02,5.761719e-02,-1.816653e+02,5.761719e-02,-1.832585e+02,5.761719e-02,-1.554331e+02
5.810547e-02,-1.563914e+02,5.810547e-02,-1.734713e+02,5.810547e-02,-1.830445e+02,5.810547e-02,-1.854642e+02,5.810547e-02,-1.504056e+02
5.859375e-02,-1.548034e+02,5.859375e-02,-1.729160e+02,5.859375e-02,-1.819981e+02,5.859375e-02,-1.851760e+02,5.859375e-02,-1.490593e+02
5.908203e-02,-1.558937e+02,5.908203e-02,-1.735846e+02,5.908203e-02,-1.816623e+02,5.908203e-02,-1.859424e+02,5.908203e-02,-1.489172e+02
5.957031e-02,-1.585264e+02,5.957031e-02,-1.748920e+02,5.957031e-02,-1.828008e+02,5.957031e-02,-1.893437e+02,5.957031e-02,-1.461935e+02
